Source:,/home/gray/KiCad/graynoise/kassuVCA/kassuVCA.kicad_sch,,,,,,,
Date:,Sat 28 May 2022 04:26:59 PM EDT,,,,,,,
Tool:,Eeschema 6.0.4-1.fc35,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,268,,,,,,,
,,,,,,,,
Individual Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,,
,,R440,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R441,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R442,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R501,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R502,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R503,100K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R504,100K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R505,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R506,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R507,47K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R508,47K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R509,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R510,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R511,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R512,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R513,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R514,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R515,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R516,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R517,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R518,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R519,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R520,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R521,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R522,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R523,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R524,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R525,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R526,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R527,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R528,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R529,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R530,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R531,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R532,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R533,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R534,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R535,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R536,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R537,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R538,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R539,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R540,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R541,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R542,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,Trim1,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,,,
,,Trim2,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,,,
,,Trim3,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,,,
,,Trim4,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,,,
,,Trim5,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,,,
,,Trim6,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,,,
,,Trim7,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,,,
,,Trim8,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,,,
,,U1,TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,U2,TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,U3,TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,U4,TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,U301,TL074,Amplifier_Operational:TL074,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,U401,TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,U402,TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,U501,TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,U502,TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Collated Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,,
10,8,"Q1, Q2, Q5, Q6, Q401, Q404, Q501, Q502",MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,3,24
11,8,"Q3, Q4, Q7, Q8, Q402, Q403, Q503, Q504",MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,6,48
12,40,"R1, R2, R5, R6, R29, R30, R31, R32, R33, R34, R43, R44, R47, R48, R71, R72, R73, R74, R75, R76, R401, R402, R405, R406, R429, R430, R431, R432, R433, R434, R501, R502, R505, R506, R529, R530, R531, R532, R533, R534",220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,80
13,10,"R3, R4, R45, R46, R403, R404, R503, R504, R305, R306",100K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,20
14,8,"R7, R8, R49, R50, R407, R408, R507, R508",47K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,16
15,56,"R9, R10, R11, R12, R19, R21, R35, R36, R37, R38, R39, R40, R41, R42, R51, R52, R53, R54, R61, R63, R77, R78, R79, R80, R81, R82, R83, R84, R409, R410, R411, R412, R419, R421, R435, R436, R437, R438, R439, R440, R441, R442, R509, R510, R511, R512, R519, R521, R535, R536, R537, R538, R539, R540, R541, R542",22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,112
16,16,"R13, R14, R15, R16, R55, R56, R57, R58, R413, R414, R415, R416, R513, R514, R515, R516",1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,32
17,40,"R17, R18, R20, R22, R23, R24, R25, R26, R27, R28, R59, R60, R62, R64, R65, R66, R67, R68, R69, R70, R417, R418, R420, R422, R423, R424, R425, R426, R427, R428, R517, R518, R520, R522, R523, R524, R525, R526, R527, R528",10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,80
18,2,"R301, R302",39K,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,4
19,2,"R303, R304",2K,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,4
21,2,"R307, R308",1K,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,2,4
23,8,"U1, U2, U3, U4, U401, U402, U501, U502",TL072,Amplifier_Operational:TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,8,64
24,1,U301,TL074,Amplifier_Operational:TL074,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,14,14
,,,,,,,,502
