Source:,/home/gray/KiCad/graynoise/kassuVCA/kassuVCA.kicad_sch,,,,,,,
Date:,Sat 28 May 2022 04:26:59 PM EDT,,,,,,,
Tool:,Eeschema 6.0.4-1.fc35,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,268,,,,,,,
,,,,,,,,
Individual Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,,
,,Level4,100K,kassuVCA-rescue:R_POT-Device,MixerFootprints:A-1623_SlidePot,,,
,,Level5,100K,kassuVCA-rescue:R_POT-Device,MixerFootprints:A-1623_SlidePot,,,
,,Level6,100K,kassuVCA-rescue:R_POT-Device,MixerFootprints:A-1623_SlidePot,,,
,,Level7,100K,kassuVCA-rescue:R_POT-Device,MixerFootprints:A-1623_SlidePot,,,
,,Level8,100K,kassuVCA-rescue:R_POT-Device,MixerFootprints:A-1623_SlidePot,,,
,,mute1,SW_DPDT_x2,Switch:SW_DPDT_x2,MixerFootprints:A-330-6mm-dpdt,~,,
,,mute2,SW_DPDT_x2,Switch:SW_DPDT_x2,MixerFootprints:A-330-6mm-dpdt,~,,
,,mute3,SW_DPDT_x2,Switch:SW_DPDT_x2,MixerFootprints:A-330-6mm-dpdt,~,,
,,mute4,SW_DPDT_x2,Switch:SW_DPDT_x2,MixerFootprints:A-330-6mm-dpdt,~,,
,,mute5,mute5,Switch:SW_DPDT_x2,MixerFootprints:A-330-6mm-dpdt,~,,
,,mute6,SW_DPDT_x2,Switch:SW_DPDT_x2,MixerFootprints:A-330-6mm-dpdt,~,,
,,mute7,mute7,Switch:SW_DPDT_x2,MixerFootprints:A-330-6mm-dpdt,~,,
,,mute8,SW_DPDT_x2,Switch:SW_DPDT_x2,MixerFootprints:A-330-6mm-dpdt,~,,
,,OutL301,AudioJack2_SwitchT,Connector:AudioJack2_SwitchT,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,~,,
,,OutR301,AudioJack2_SwitchT,Connector:AudioJack2_SwitchT,Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,~,,
,,Pan1,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,,,
,,Pan2,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,,,
,,Pan3,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,,,
,,Pan4,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,,,
,,Pan5,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,,,
,,Pan6,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,,,
,,Pan7,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,,,
,,Pan8,100K,kassuVCA-rescue:R_POT-Device,Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical,,,
,,Q1,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,
,,Q2,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,
,,Q3,MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,,
,,Q4,MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,,
,,Q5,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,
,,Q6,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,
,,Q7,MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,,
,,Q8,MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,,
,,Q401,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,
,,Q402,MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,,
,,Q403,MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,,
,,Q404,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,
,,Q501,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,
,,Q502,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,
,,Q503,MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,,
,,Q504,MBT3904DW1,Transistor_BJT:MBT3904DW1,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF,,
,,R1,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R2,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R3,100K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R4,100K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R5,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R6,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R7,47K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R8,47K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R9,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R10,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R11,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R12,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R13,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R14,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R15,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R16,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R17,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R18,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R19,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R20,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R21,22K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R22,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R23,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R24,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,R25,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
